,title,location,price,area,rooms,interior,construction_period
10,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
11,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
12,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
13,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
14,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
15,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
16,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
17,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
18,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
19,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
20,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
21,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
22,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
23,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
24,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
25,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
26,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
27,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
28,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
29,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
30,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
31,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
32,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
33,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
34,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
35,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
36,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
37,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
38,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
39,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
40,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
41,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
42,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
43,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
44,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
45,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
46,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
47,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
48,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
49,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
50,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
51,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
52,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
53,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
54,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
55,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
56,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
57,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
58,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
59,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
60,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
61,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
62,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
63,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
64,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
65,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
66,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
67,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
68,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
69,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
70,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
71,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
72,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
73,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
74,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
75,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
76,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
77,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
78,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
79,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
80,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
81,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
82,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
83,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
84,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
85,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
86,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
87,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
88,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
89,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
90,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
91,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
92,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
93,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
94,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
95,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
96,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
97,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
98,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
99,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
100,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
101,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
102,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
103,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
104,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
105,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
106,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
107,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
108,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
109,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
110,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
111,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
112,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
113,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
114,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
115,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
116,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
117,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
118,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
119,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
120,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
121,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
122,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
123,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
124,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
125,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
126,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
127,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
128,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
129,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
130,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
131,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
132,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
133,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
134,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
135,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
136,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
137,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
138,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
139,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
140,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
141,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
142,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
143,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
144,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
145,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
146,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
147,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
148,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
149,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
150,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
151,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
152,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
153,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
154,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
155,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
156,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
157,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
158,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
159,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
160,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
161,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
162,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
163,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
164,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
165,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
166,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
167,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
168,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
169,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
170,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
171,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
172,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
173,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
174,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
175,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
176,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
177,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
178,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
179,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
180,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
181,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
182,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
183,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
184,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
185,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
186,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
187,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
188,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
189,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
