,title,location,price,area,rooms,interior,construction_period
412,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
413,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
414,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
415,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
416,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
417,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
418,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
419,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
420,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
421,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
422,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
423,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
424,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
425,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
426,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
427,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
428,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
429,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
430,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
431,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
432,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
433,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
434,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
435,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
436,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
437,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
438,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
439,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
440,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
441,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
442,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
443,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
444,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
445,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
446,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
447,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
448,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
449,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
450,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
451,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
452,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
453,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
454,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
455,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
456,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
457,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
458,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
459,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
460,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
461,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
462,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
463,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
464,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
465,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
466,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
467,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
468,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
469,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
